STARNAME,TWOMASS_NAME,Plate,GSC_Name,TYC_Name,HIP_Name,RA_Final,DEC_Final,GSC_B,GSC_V,TWOMASS_J,TWOMASS_H,TWOMASS_K,SP1,SP2,RPM_LOG_g,Teff,log_g,FeH,GSC_B_E,GSC_V_E,TWOMASS_J_E,TWOMASS_H_E,TWOMASS_K_E,Teff_E,log_g_E,FeH_E,Epoch_0,RA_0,DEC_0,RA_TWOMASS,DEC_TWOMASS,GSC_PM_RA,GSC_PM_DEC,GSC_PM_RA_E,GSC_PM_DEC_E,TYC_B,TYC_B_E,TYC_V,TYC_V_E,HIP_PLX,HIP_PLX_E,HIP_SPTYPE
GSC-00122-00066_BEAM1,TWOMASS-J05370819+0536307,HD37605,GSC-00122-00066,NO_TYC_ID,NO_HIP_ID,84.284212,5.60854,12.6369,11.8806,10.678,10.283,10.233,K4,G2,MainSeq,5624,4.26,-0.694,0.254853,0.430225,0.021,0.02,0.019,142,0.076,0.292,2008.71,84.284211,5.608541,84.284165,5.608545,18.49801,-14.5586,3.24284,3.67063,9999,9999,9999,9999,9999,9999,NO_HIP_TYPE!
GSC-00122-00066_BEAM2,TWOMASS-J05370819+0536307,HD37605,GSC-00122-00066,NO_TYC_ID,NO_HIP_ID,84.284212,5.60854,12.6369,11.8806,10.678,10.283,10.233,K4,G2,MainSeq,5624,4.26,-0.694,0.254853,0.430225,0.021,0.02,0.019,142,0.076,0.292,2008.71,84.284211,5.608541,84.284165,5.608545,18.49801,-14.5586,3.24284,3.67063,9999,9999,9999,9999,9999,9999,NO_HIP_TYPE!
GSC-00122-01103_BEAM1,TWOMASS-J05363478+0450523,HD37605,GSC-00122-01103,NO_TYC_ID,NO_HIP_ID,84.144861,4.84782,12.1262,11.3954,10.268,9.979,9.896,K4,F9,MainSeq,5666,3.767,-0.371,0.354317,0.40863,0.023,0.02,0.019,121,0.171,0.13,2008.71,84.144863,4.847822,84.144947,4.847871,-23.33594,-24.3618,3.99979,3.14747,9999,9999,9999,9999,9999,9999,NO_HIP_TYPE!
GSC-00122-01103_BEAM2,TWOMASS-J05363478+0450523,HD37605,GSC-00122-01103,NO_TYC_ID,NO_HIP_ID,84.144861,4.84782,12.1262,11.3954,10.268,9.979,9.896,K4,F9,MainSeq,5666,3.767,-0.371,0.354317,0.40863,0.023,0.02,0.019,121,0.171,0.13,2008.71,84.144863,4.847822,84.144947,4.847871,-23.33594,-24.3618,3.99979,3.14747,9999,9999,9999,9999,9999,9999,NO_HIP_TYPE!
GSC-00123-00040_BEAM1,TWOMASS-J05425114+0503544,HD37605,GSC-00123-00040,NO_TYC_ID,NO_HIP_ID,85.713068,5.065087,13.0561,11.5759,10.316,9.854,9.78,M0,K1,MainSeq,5157,4.677,-0.38,0.393754,0.430164,0.019,0.02,0.021,161,0.175,0.07,2008.71,85.713069,5.065087,85.71309,5.065128,-17.1857,1.82955,4.96051,5.07881,9999,9999,9999,9999,9999,9999,NO_HIP_TYPE!
GSC-00123-00040_BEAM2,TWOMASS-J05425114+0503544,HD37605,GSC-00123-00040,NO_TYC_ID,NO_HIP_ID,85.713068,5.065087,13.0561,11.5759,10.316,9.854,9.78,M0,K1,MainSeq,5157,4.677,-0.38,0.393754,0.430164,0.019,0.02,0.021,161,0.175,0.07,2008.71,85.713069,5.065087,85.71309,5.065128,-17.1857,1.82955,4.96051,5.07881,9999,9999,9999,9999,9999,9999,NO_HIP_TYPE!
GSC-00123-00951_BEAM1,TWOMASS-J05430383+0449566,HD37605,GSC-00123-00951,NO_TYC_ID,NO_HIP_ID,85.765986,4.832407,13.8461,11.7439,9.192,8.403,8.228,M1,K5,MainSeq,5061,3.784,0.064,0.41232,0.428066,0.019,0.049,0.019,91,0.743,0.482,2008.71,85.765986,4.832407,85.765997,4.832389,-7.02256,2.17765,5.63233,5.36758,9999,9999,9999,9999,9999,9999,NO_HIP_TYPE!
GSC-00123-00951_BEAM2,TWOMASS-J05430383+0449566,HD37605,GSC-00123-00951,NO_TYC_ID,NO_HIP_ID,85.765986,4.832407,13.8461,11.7439,9.192,8.403,8.228,M1,K5,MainSeq,5061,3.784,0.064,0.41232,0.428066,0.019,0.049,0.019,91,0.743,0.482,2008.71,85.765986,4.832407,85.765997,4.832389,-7.02256,2.17765,5.63233,5.36758,9999,9999,9999,9999,9999,9999,NO_HIP_TYPE!
GSC-00123-00954_BEAM1,TWOMASS-J05423760+0459218,HD37605,GSC-00123-00954,NO_TYC_ID,NO_HIP_ID,85.656657,4.989233,12.7123,11.3897,10.234,9.875,9.789,K4,F9,MainSeq,5290,4.6,-0.236,0.394151,0.430117,0.019,0.02,0.019,71,0.11,0.098,2008.71,85.656658,4.989237,85.656707,4.989392,-20.31532,-52.22754,5.70447,4.21701,9999,9999,9999,9999,9999,9999,NO_HIP_TYPE!
GSC-00123-00954_BEAM2,TWOMASS-J05423760+0459218,HD37605,GSC-00123-00954,NO_TYC_ID,NO_HIP_ID,85.656657,4.989233,12.7123,11.3897,10.234,9.875,9.789,K4,F9,MainSeq,5290,4.6,-0.236,0.394151,0.430117,0.019,0.02,0.019,71,0.11,0.098,2008.71,85.656658,4.989237,85.656707,4.989392,-20.31532,-52.22754,5.70447,4.21701,9999,9999,9999,9999,9999,9999,NO_HIP_TYPE!
