wd,dr2name,source_id,teffh,loggh,g_gaia_mag,pwd,ra,dec
WDJ010146.50+424811.04,Gaia DR2 376337816298247168 ,376337816298247168,13604.95,8.654518,20.24357,0.998158,15.4437841921431,42.803010017989
WDJ010302.19+431525.63,Gaia DR2 376371424419006720 ,376371424419006720,16725.3,8.477301,20.30113,0.998136,15.7590581375797,43.2571459299991
WDJ002621.54+371145.01,Gaia DR2 378499834115563904 ,378499834115563904,8148.92,7.73588,20.08076,0.960665,6.58975951290191,37.1958430670726
WDJ002358.17+391737.33,Gaia DR2 380033137441268480 ,380033137441268480,12355.66,7.258728,20.05787,0.967906,5.99246930560297,39.2936455841606
WDJ002156.62+392711.86,Gaia DR2 380073991170030464 ,380073991170030464,16412.93,8.755668,20.24568,0.998041,5.48594071922186,39.4532549073043
WDJ001920.03+395707.46,Gaia DR2 380303479863020288 ,380303479863020288,12078.33,7.500677,20.16546,0.986011,4.83363180397616,39.9520539496834
WDJ002135.22+402747.24,Gaia DR2 380337530363017216 ,380337530363017216,16795.29,8.685468,20.24749,0.998745,5.39680510167975,40.4631292053144
WDJ002019.56+403142.64,Gaia DR2 380388382775881856 ,380388382775881856,14544.33,8.160285,20.43412,0.995662,5.08142153841122,40.5285351640652
WDJ002246.57+403247.80,Gaia DR2 380426693883825152 ,380426693883825152,22994.42,8.732144,20.49791,0.997576,5.69401857606292,40.5465945944285
WDJ002211.11+410541.38,Gaia DR2 380496890829910656 ,380496890829910656,18871.97,8.095044,20.30153,0.841428,5.54625585598393,41.0948194993059
WDJ002806.82+403433.07,Gaia DR2 381688731368854272 ,381688731368854272,4565.864,7.912435,20.06799,0.946747,7.02962653283748,40.5757353373627
WDJ002626.37+423025.06,Gaia DR2 382156500553141376 ,382156500553141376,12225.91,7.204348,20.16075,0.967577,6.60988071124655,42.5069397032605
WDJ001208.40+392917.73,Gaia DR2 382862558816248832 ,382862558816248832,13426.06,8.450715,20.1365,0.998378,3.03503233696924,39.4882412953116
