wd,dr2name,source_id,teffh,g_gaia_mag,pwd,ra,dec,massh
WDJ010146.50+424811.04,Gaia DR2 376337816298247168 ,376337816298247168,13604.95,20.24357,0.998158,15.4437841921431,42.803010017989,1.020115
WDJ010302.19+431525.63,Gaia DR2 376371424419006720 ,376371424419006720,16725.3,20.30113,0.998136,15.7590581375797,43.2571459299991,0.913957
WDJ002621.54+371145.01,Gaia DR2 378499834115563904 ,378499834115563904,8148.92,20.08076,0.960665,6.58975951290191,37.1958430670726,0.459719
WDJ002358.17+391737.33,Gaia DR2 380033137441268480 ,380033137441268480,12355.66,20.05787,0.967906,5.99246930560297,39.2936455841606,0.323324
WDJ002156.62+392711.86,Gaia DR2 380073991170030464 ,380073991170030464,16412.93,20.24568,0.998041,5.48594071922186,39.4532549073043,1.080045
WDJ001920.03+395707.46,Gaia DR2 380303479863020288 ,380303479863020288,12078.33,20.16546,0.986011,4.83363180397616,39.9520539496834,0.393734
WDJ002135.22+402747.24,Gaia DR2 380337530363017216 ,380337530363017216,16795.29,20.24749,0.998745,5.39680510167975,40.4631292053144,1.04133
WDJ002019.56+403142.64,Gaia DR2 380388382775881856 ,380388382775881856,14544.33,20.43412,0.995662,5.08142153841122,40.5285351640652,0.708132
WDJ002246.57+403247.80,Gaia DR2 380426693883825152 ,380426693883825152,22994.42,20.49791,0.997576,5.69401857606292,40.5465945944285,1.072687
WDJ002211.11+410541.38,Gaia DR2 380496890829910656 ,380496890829910656,18871.97,20.30153,0.841428,5.54625585598393,41.0948194993059,0.676577
WDJ002806.82+403433.07,Gaia DR2 381688731368854272 ,381688731368854272,4565.864,20.06799,0.946747,7.02962653283748,40.5757353373627,0.525365
WDJ002626.37+423025.06,Gaia DR2 382156500553141376 ,382156500553141376,12225.91,20.16075,0.967577,6.60988071124655,42.5069397032605,0.30813
WDJ001208.40+392917.73,Gaia DR2 382862558816248832 ,382862558816248832,13426.06,20.1365,0.998378,3.03503233696924,39.4882412953116,0.892534
WDJ001303.44+405241.33,Gaia DR2 383267458269916800 ,383267458269916800,10263.52,20.27828,0.979581,3.26439202034341,40.8780986192092,0.528761
WDJ001047.10+412803.82,Gaia DR2 383355522278000896 ,383355522278000896,12314.89,20.08506,0.967177,2.69622142233498,41.4676999435042,0.34919
WDJ001930.96+414943.56,Gaia DR2 383592016061761408 ,383592016061761408,5579.09,20.51085,0.955372,4.87880481773864,41.8286417502189,0.545694
WDJ001425.51+420353.34,Gaia DR2 383718185021068800 ,383718185021068800,17919.34,20.45757,0.924557,3.60623508602105,42.0647722514188,0.395943
WDJ000900.31+411236.27,Gaia DR2 384075560660484864 ,384075560660484864,19177.4,20.10758,0.998834,2.25130652437298,41.2099888949227,1.000965
WDJ000612.45+414343.56,Gaia DR2 384162112840762624 ,384162112840762624,8001.993,20.5455,0.983387,1.5519052128136,41.728818948149,0.923422
WDJ000238.88+412727.45,Gaia DR2 384234203868321280 ,384234203868321280,10383.4,20.15341,0.962342,0.662051310263511,41.4576208803686,0.418407
WDJ000203.21+420614.09,Gaia DR2 384326180592929152 ,384326180592929152,5526.089,20.50477,0.892674,0.513564196003048,42.1036473303667,0.406561
WDJ000811.37+424557.79,Gaia DR2 384602192369846528 ,384602192369846528,13174.46,20.1786,0.993424,2.04734684166034,42.7660835102529,0.538562
WDJ000817.47+430246.59,Gaia DR2 384612431572089856 ,384612431572089856,11918.6,20.48658,0.994561,2.07280635718697,43.0462477813272,0.595481
WDJ001121.49+424208.26,Gaia DR2 384636315887021824 ,384636315887021824,12469.98,20.11189,0.995073,2.83948233914903,42.7022884355629,0.758088
WDJ000000.55+434914.36,Gaia DR2 384905313981247488 ,384905313981247488,11307.5,20.16148,0.991778,0.00226254060393414,43.8206193587733,0.75577
WDJ001804.80+425045.34,Gaia DR2 385158648333267456 ,385158648333267456,28094.59,20.34196,0.941093,4.52002879674887,42.8459434305181,0.643963
WDJ001819.78+431426.97,Gaia DR2 385193660907174144 ,385193660907174144,23896.87,20.28611,0.965622,4.5822703252416,43.240799330792,0.667575
WDJ002336.66+444613.71,Gaia DR2 385799251295355520 ,385799251295355520,7358.49,20.34323,0.977714,5.90274120619368,44.7703714921341,0.513825
WDJ000521.31+461905.57,Gaia DR2 387067817130867200 ,387067817130867200,6846.699,20.33912,0.989877,1.33877571445835,46.3178872179209,0.716349
WDJ000435.87+472522.38,Gaia DR2 387230643635885056 ,387230643635885056,4560.719,20.44373,0.901353,1.14973606889626,47.4223731592945,0.702321
WDJ004527.42+430621.76,Gaia DR2 387463465223105792 ,387463465223105792,21767.92,20.27769,0.989209,11.364271409046,43.1060691836566,0.745565
WDJ002438.77+454343.05,Gaia DR2 388857336729626880 ,388857336729626880,10748.67,20.10528,0.97872,6.16158368809651,45.7286140975561,0.328903
WDJ002954.31+452006.86,Gaia DR2 388869019040675968 ,388869019040675968,12649.14,20.18695,0.992643,7.47634434547278,45.3351919990391,0.447752
WDJ002750.84+455520.48,Gaia DR2 388918840660821760 ,388918840660821760,18011.76,20.17562,0.99893,6.96187171629732,45.9223487201364,0.862772
WDJ002542.45+461851.31,Gaia DR2 388991374067957120 ,388991374067957120,15843.13,20.09808,0.998746,6.4267708098077,46.3142272793754,0.88171
WDJ003616.50+463630.99,Gaia DR2 389190007717145344 ,389190007717145344,14199.58,20.35593,0.997035,9.06873788042039,46.608560938318,0.743417
WDJ003354.79+462812.93,Gaia DR2 389219076057494400 ,389219076057494400,14322.27,20.12233,0.998021,8.47835716144121,46.4702193979244,1.117636
